model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA_512x512__Size-512x512_Epoch-14_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,14,0.3454051348567009,0.8512656021118165,2022-01-11 13:26:01.731688,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-14_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,14,0.34055469304323194,0.84390380859375,2022-01-11 13:26:01.731743,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-15_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,15,0.3241327877342701,0.8597410583496093,2022-01-11 13:29:00.409459,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-15_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,15,0.3508383651077747,0.8369376754760742,2022-01-11 13:29:00.409512,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-16_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,16,0.3338139992952347,0.8504085922241211,2022-01-11 13:31:59.082119,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-16_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,16,0.34634722024202347,0.8367274475097656,2022-01-11 13:31:59.082169,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-17_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,17,0.34788653641939166,0.8452287673950195,2022-01-11 13:34:58.648983,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-17_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,17,0.345581763535738,0.8391206359863281,2022-01-11 13:34:58.649037,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-18_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,18,0.31255017206072805,0.8645683288574219,2022-01-11 13:37:57.264431,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-18_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,18,0.3418953175842762,0.8399609375,2022-01-11 13:37:57.264483,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-19_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,19,0.3261113382875919,0.8576045989990234,2022-01-11 13:40:56.288853,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-19_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,19,0.34556775256991384,0.8371586990356445,2022-01-11 13:40:56.288904,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-20_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,20,0.31157429292798045,0.863642692565918,2022-01-11 13:43:56.010401,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-20_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,test,20,0.3505001965165138,0.8352714920043945,2022-01-11 13:43:56.010454,[None 'grid_distortion' 'optical_distortion']
ORCA_512x512__Size-512x512_Epoch-21_Images-100_Batch-1__random_2_operations_distortion.pth,random_2_operations,train,21,0.299105810970068,0.8696060562133789,2022-01-11 13:46:55.333100,[None 'grid_distortion' 'optical_distortion']
