model,augmentation,phase,epoch,loss,accuracy,date
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,126,0.39201645180583,0.8908590316772461,2021-05-31 10:27:58.039026
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,127,0.11177826910279691,0.9532331466674805,2021-05-31 10:29:01.308322
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,127,0.3825289815664291,0.884218978881836,2021-05-31 10:29:01.308348
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,128,0.10744719696231186,0.9547858715057373,2021-05-31 10:30:04.636769
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,128,0.4211323201656342,0.8858356475830078,2021-05-31 10:30:04.636795
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,129,0.10746601345017552,0.9547677993774414,2021-05-31 10:31:07.950616
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,129,0.46841061785817145,0.8803874969482421,2021-05-31 10:31:07.950642
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,130,0.10124517942313105,0.9571820735931397,2021-05-31 10:32:11.226838
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,130,0.48918424621224404,0.8749240875244141,2021-05-31 10:32:11.226864
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,131,0.09985383700113744,0.9578127861022949,2021-05-31 10:33:14.608411
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,131,0.4756618939340115,0.8751245498657226,2021-05-31 10:33:14.608439
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,132,0.10112641521263868,0.9573055744171143,2021-05-31 10:34:17.993535
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,132,0.4385329745709896,0.8777273178100586,2021-05-31 10:34:17.993579
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,133,0.11118107866495848,0.9533822059631347,2021-05-31 10:35:21.315210
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,133,0.4233779802918434,0.8690895080566406,2021-05-31 10:35:21.315240
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,134,0.11188122569583356,0.9530080318450928,2021-05-31 10:36:24.660122
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,134,0.3710909284651279,0.888885498046875,2021-05-31 10:36:24.660153
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,135,0.10752806796226651,0.9549513339996338,2021-05-31 10:37:27.915351
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,135,0.40814142525196073,0.8891841888427734,2021-05-31 10:37:27.915381
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,136,0.10247138834092766,0.9568274021148682,2021-05-31 10:38:31.106932
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,136,0.4056253120303154,0.8921098709106445,2021-05-31 10:38:31.106961
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,137,0.0985603266628459,0.9583160877227783,2021-05-31 10:39:34.373217
