model,augmentation,phase,epoch,loss,accuracy,date,transformations
OCDC__Size-640x640_Epoch-11_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,11,0.43908255920701084,0.8055607241675972,2021-11-27 19:07:51.175179,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-11_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,11,0.5402627317027913,0.851740247938368,2021-11-27 19:07:51.175210,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-12_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,12,0.4624211100905779,0.8080896693638392,2021-11-27 19:26:31.401049,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-12_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,12,0.4454138481989503,0.851740247938368,2021-11-27 19:26:31.401105,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,13,0.45343688150335637,0.8094739961170014,2021-11-27 19:45:10.584232,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-13_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,13,0.4265269198972318,0.851740247938368,2021-11-27 19:45:10.584276,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,14,0.44646585772612263,0.8086511986142119,2021-11-27 20:03:50.730849,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-14_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,14,0.4632246233212451,0.851740247938368,2021-11-27 20:03:50.730898,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-15_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,15,0.44963194325654987,0.80918212890625,2021-11-27 20:22:31.696058,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-15_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,15,0.42933230222099356,0.851740247938368,2021-11-27 20:22:31.696099,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-16_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,16,0.45791630748481976,0.808079374767485,2021-11-27 20:41:12.390679,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-16_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,16,0.4505570269500216,0.851740247938368,2021-11-27 20:41:12.390735,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-17_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,17,0.453867217995936,0.8064775332496278,2021-11-27 20:59:53.792399,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-17_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,17,0.4844291503437691,0.851740247938368,2021-11-27 20:59:53.792426,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-18_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,18,0.44897972322734336,0.808841820126488,2021-11-27 21:18:33.944489,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-18_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,18,0.42025590551396214,0.851740247938368,2021-11-27 21:18:33.944546,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-19_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,19,0.4424927177816807,0.8086950480143225,2021-11-27 21:37:13.210972,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-19_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,19,0.4713944608552588,0.851740247938368,2021-11-27 21:37:13.211040,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-20_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,20,0.440357016222108,0.8090920962379096,2021-11-27 21:55:52.863313,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-20_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,20,0.395124219223443,0.851740247938368,2021-11-27 21:55:52.863342,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-21_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,21,0.4384011069844876,0.8078729218982512,2021-11-27 22:14:32.087725,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-21_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,21,0.39752124288222856,0.851740247938368,2021-11-27 22:14:32.087752,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-22_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,22,0.4343314663617916,0.8081871890113465,2021-11-27 22:33:11.875248,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
