model,augmentation,phase,epoch,loss,accuracy,date
ORCA__Size-640x640_Epoch-18_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,18,0.5300765299809075,0.7752823397364114,2021-04-28 04:36:03.451218
ORCA__Size-640x640_Epoch-19_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,19,0.32307018092627365,0.8609278723611824,2021-04-28 05:45:43.572140
ORCA__Size-640x640_Epoch-19_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,19,0.5476704781169568,0.7687724976898519,2021-04-28 05:45:43.572168
ORCA__Size-640x640_Epoch-20_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,20,0.31949840691920955,0.863526912853481,2021-04-28 06:55:48.251296
ORCA__Size-640x640_Epoch-20_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,20,0.5225896204153038,0.7809694541283967,2021-04-28 06:55:48.251353
ORCA__Size-640x640_Epoch-21_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,21,0.31536798663303683,0.8655827017606156,2021-04-28 08:06:20.732391
ORCA__Size-640x640_Epoch-21_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,21,0.5461654943684416,0.7662091640531664,2021-04-28 08:06:20.732445
ORCA__Size-640x640_Epoch-22_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,22,0.3154618360361744,0.8640732030549128,2021-04-28 09:22:30.376573
ORCA__Size-640x640_Epoch-22_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,22,0.5084931063404576,0.7829375892557119,2021-04-28 09:22:30.376599
ORCA__Size-640x640_Epoch-23_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,23,0.31680093780168306,0.8637680922512827,2021-04-28 10:32:31.885794
ORCA__Size-640x640_Epoch-23_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,23,0.4709112361783391,0.7993562796352299,2021-04-28 10:32:31.885820
ORCA__Size-640x640_Epoch-24_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,24,0.32520149559262723,0.8596614235325855,2021-04-28 11:42:30.771060
ORCA__Size-640x640_Epoch-24_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,24,0.5107945321425974,0.7799635597511576,2021-04-28 11:42:30.771090
