model,augmentation,phase,epoch,loss,accuracy,date,transformations
ORCA__Size-640x640_Epoch-14_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,14,0.355969785691498,0.8435284031136026,2022-02-22 12:46:14.309438,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-14_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,14,0.4107507241628374,0.8172227459298654,2022-02-22 12:46:14.309491,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-15_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,15,0.3518652537600617,0.8455623508645883,2022-02-22 15:59:07.812516,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-15_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,15,0.42861869133787744,0.8114760804298697,2022-02-22 15:59:07.812569,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-16_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,16,0.34842645608671,0.8463691150489181,2022-02-22 19:12:10.163616,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-16_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,16,0.41807777375228916,0.818533412232727,2022-02-22 19:12:10.163669,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-17_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,17,0.3419718322576008,0.850609092612042,2022-02-22 22:25:28.986975,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-17_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,17,0.42609733161058205,0.8127041731538345,2022-02-22 22:25:28.987028,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-18_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,18,0.3378641353862187,0.8547924512723124,2022-02-23 01:39:26.320175,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-18_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,18,0.4146708996724973,0.8175500218587858,2022-02-23 01:39:26.320228,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-19_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,19,0.3348931373611335,0.8542352740167619,2022-02-23 04:53:23.442507,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-19_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,19,0.41424626934607495,0.8183354463856063,2022-02-23 04:53:23.442573,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-20_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,20,0.32857184129713884,0.8590679422162786,2022-02-23 08:06:34.431790,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-20_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,20,0.41667221804311355,0.8210645702645576,2022-02-23 08:06:34.431857,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-21_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,21,0.32955738831000947,0.857123155135399,2022-02-23 11:19:14.632429,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-21_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,21,0.4182615766608936,0.8179567456474225,2022-02-23 11:19:14.632482,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-22_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,22,0.3246822133484343,0.8608584956032501,2022-02-23 14:31:50.703976,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-22_Images-4181_Batch-1__random_distortion.pth,random_2_operations,test,22,0.4135097689187552,0.8197644443422588,2022-02-23 14:31:50.704029,[None 'grid_distortion' 'optical_distortion']
ORCA__Size-640x640_Epoch-23_Images-4181_Batch-1__random_distortion.pth,random_2_operations,train,23,0.3215053649498936,0.8606486911586672,2022-02-23 17:44:28.139218,[None 'grid_distortion' 'optical_distortion']
